epoka,strata,perplexity
1693,0.063014,1.0650
1694,0.064760,1.0669
1695,0.063308,1.0654
1696,0.062998,1.0650
1697,0.063988,1.0661
1698,0.064007,1.0661
1699,0.063496,1.0656
1700,0.066335,1.0686
1701,0.062122,1.0641
1702,0.063898,1.0660
1703,0.062461,1.0645
1704,0.063157,1.0652
1705,0.064466,1.0666
1706,0.064466,1.0666
1707,0.062833,1.0648
1708,0.067425,1.0697
1709,0.063203,1.0652
1710,0.062025,1.0640
1711,0.065162,1.0673
1712,0.064004,1.0661
1713,0.064578,1.0667
1714,0.065987,1.0682
1715,0.065663,1.0679
1716,0.061890,1.0638
1717,0.063764,1.0658
1718,0.065694,1.0679
1719,0.062594,1.0646
1720,0.063760,1.0658
1721,0.065556,1.0678
1722,0.062446,1.0644
1723,0.062451,1.0644
1724,0.066202,1.0684
1725,0.062731,1.0647
1726,0.061334,1.0633
1727,0.064361,1.0665
1728,0.063398,1.0655
1729,0.062856,1.0649
1730,0.064152,1.0663
1731,0.064378,1.0665
1732,0.062645,1.0646
1733,0.064937,1.0671
1734,0.064278,1.0664
1735,0.063519,1.0656
1736,0.065770,1.0680
1737,0.061785,1.0637
1738,0.064267,1.0664
1739,0.065051,1.0672
1740,0.063209,1.0652
1741,0.064887,1.0670
1742,0.063203,1.0652
1743,0.063607,1.0657
1744,0.062822,1.0648
1745,0.064973,1.0671
1746,0.065672,1.0679
1747,0.063701,1.0658
1748,0.063501,1.0656
1749,0.062575,1.0646
1750,0.062152,1.0641
1751,0.062013,1.0640
1752,0.062081,1.0640
1753,0.063481,1.0655
1754,0.062993,1.0650
1755,0.065330,1.0675
1756,0.064460,1.0666
1757,0.063127,1.0652
1758,0.064322,1.0664
1759,0.061099,1.0630
1760,0.065455,1.0676
1761,0.062422,1.0644
1762,0.062310,1.0643
1763,0.062819,1.0648
1764,0.061656,1.0636
1765,0.062551,1.0645
1766,0.062171,1.0641
1767,0.063337,1.0654
1768,0.062291,1.0643
1769,0.061199,1.0631
1770,0.062794,1.0648
1771,0.062915,1.0649
1772,0.061908,1.0639
1773,0.065991,1.0682
1774,0.061897,1.0639
1775,0.061670,1.0636
1776,0.063420,1.0655
1777,0.064082,1.0662
1778,0.062363,1.0643
1779,0.062202,1.0642
1780,0.063500,1.0656
1781,0.065038,1.0672
1782,0.063283,1.0653
1783,0.062180,1.0642
1784,0.060561,1.0624
1785,0.062043,1.0640
1786,0.062932,1.0650
1787,0.062375,1.0644
1788,0.059885,1.0617
1789,0.062641,1.0646
1790,0.062108,1.0641
1791,0.063033,1.0651
1792,0.063642,1.0657
1793,0.063817,1.0659
1794,0.062971,1.0650
1795,0.063670,1.0657
1796,0.063183,1.0652
1797,0.060864,1.0628
1798,0.061378,1.0633
1799,0.063686,1.0658
1800,0.062579,1.0646
1801,0.063721,1.0658
1802,0.063506,1.0656
1803,0.062976,1.0650
1804,0.063069,1.0651
1805,0.062067,1.0640
1806,0.066253,1.0685
1807,0.061722,1.0637
1808,0.062758,1.0648
1809,0.063435,1.0655
1810,0.061271,1.0632
1811,0.063763,1.0658
1812,0.064542,1.0667
1813,0.064621,1.0668
1814,0.063480,1.0655
1815,0.062870,1.0649
1816,0.062107,1.0641
1817,0.064844,1.0670
1818,0.063011,1.0650
1819,0.064154,1.0663
1820,0.063981,1.0661
1821,0.063736,1.0658
1822,0.064551,1.0667
1823,0.061502,1.0634
1824,0.061749,1.0637
1825,0.061423,1.0633
1826,0.063626,1.0657
1827,0.063519,1.0656
1828,0.063060,1.0651
1829,0.063758,1.0658
1830,0.063449,1.0655
1831,0.064538,1.0667
1832,0.059286,1.0611
1833,0.064905,1.0671
1834,0.062548,1.0645
1835,0.062981,1.0650
1836,0.063096,1.0651
1837,0.061404,1.0633
1838,0.062566,1.0646
1839,0.061807,1.0638
1840,0.063126,1.0652
1841,0.064568,1.0667
1842,0.062683,1.0647
1843,0.065449,1.0676
1844,0.062937,1.0650
1845,0.060211,1.0621
1846,0.061466,1.0634
1847,0.063016,1.0650
1848,0.065112,1.0673
1849,0.062921,1.0649
1850,0.062908,1.0649
1851,0.066187,1.0684
1852,0.063453,1.0655
1853,0.063402,1.0655
1854,0.064131,1.0662
1855,0.063084,1.0651
1856,0.061194,1.0631
